Reviewer,Rating,Biased,Review Text
JenniferM,5.0,No,"Great TV for the money, Did not want to spend $1000 for our bonus room. It’s easy to setup and program. No complaints very happy and curb side pickup was great they were fast, friendly and helpful. This TV picture is just as great if not better than my Samsung frame TV and I like the WebOS and the App Store better on this LG than my Samsung."
Emgee,5.0,Yes,"Product was delivered with care and on time. I availed the best buy support team to assist in carrying the TV setting up. The team is professional and friendly as well. 
The TV is good. Picture is crisp. Sounds are awesome."
DoreenM,5.0,No,Love my LG 65 inch TV. clear picture great sound very happy with my purchase
DawnP,5.0,No,"Works great ,color vibrant. Very happy with choice. Salesman was wonderful"
NagarajuR,5.0,Yes,The TV works great and i had to return the TV because of the TV remote which i am not comfortable. The remote has lot of keys which i never use and hard to operate. Just look at the ROKU tv remote whcih is fantastic and it has best tv remote app. Not sure why LG does not make smart remotes. The TV is really great but Remote sucks.
JSMScreens,5.0,No,"The **LG 65” Class UT70 Series LED 4K UHD Smart webOS TV (2024)** is an excellent choice for anyone seeking a high-quality viewing experience. The 4K UHD resolution delivers stunning picture clarity, while the LED technology ensures vibrant colors and deep blacks. The webOS platform is user-friendly and offers a wide range of apps and streaming services. Additionally, the sleek design and slim bezels make it a stylish addition to any living room. Overall, this TV provides great value for its price."
Mcesar45,5.0,Yes,This tv really surprised us we didn’t expect the picture to be so vivid an alive. Best purchase ever. The price was right.
Mormanmommy,3.0,No,"We purchased this TV for our bedroom. The size is great and I overall like the TV. The remote however is very hard to navigate, a ton of buttons that don't make sense. I also have problems when I switch over to my fire stick, a video sound will start playing as soon as I switch input to my fire stick. I wish that this TV had the option for the downloader app but it doesn't. For the price it's a decent TV."
3950,5.0,Yes,"Excellent picture. Easy set up. Sound is ok, but perfect with external speakers."
lawson,4.0,No,"I'm quite impressed with this tvs performance so far. This TV has Chromecast if that's what you need or want. I'm not sure if the people complaining about apps loading slowly are just being dramatic. Sure, the apps don't load as snappy as Roku but I didn't have to wait more than a five or six seconds for any app to load so far. I did notice when you hit the settings button there is a bit of a lag but it's a mild inconvenience. 

The TV speakers sound decent but I'm still using my sound bar. When you get the tv it's in energy savings mode, you'll need to go into the settings to turn it off or the TV won't appear as bright as it can be. 

If you're looking for a basic 4k uhd tv this one is a good pick for the price you're paying."
goirish581,4.0,No,"Good TV for the money. Bought this for my mother-in-law. She loves it. Wouldn’t appreciate an OLED. LG got this one right for a fair price. Looks good out of the box. Easy to wall mount. Sound is also decent, but hooked up a soundbar anyway. They play well together."
StephanieS,5.0,No,Purchased this for my 2nd living room. It has a beautiful picture and so many features. My grandchildren are going to be happy when they come over to play the PS5 on it. I am a very happy customer
Keke,5.0,Yes,This tv is awesome. The clearness of the picture is perfect the sound is a plus as well. I’m so glad the representative helped me with making this decision.
Susania,5.0,No,Great TV for the price. . Highly recommend. Would buy again. And recommending this TV to friends and family.
AnselmoD,5.0,Yes,I and my family have really enjoyed the item we purchased..Our family time has been amazing with our movie nights..best smart tv thank you Best Buy.
Roni,5.0,No,"TV looks really good, and the price couldn't be beat. Good customer service, my last TV was damaged during my move."
Momsmusicbox,5.0,Yes,"Easy to set up with our cable, we also didn’t have to use our sound bar because everything sounds perfect."
Suttpa,5.0,No,Great picture! This TV does not need any calibration. Looks beautiful right out the box.
Cedric,5.0,No,Great tv picture was clear easy to setup my favorite feature was the built in web browser
